schema_name,procedure_name,type_desc,create_date,modify_date,days_between_create_modify,source_availability,definition_length,definition_preview
dbo,SP_PatientSearch_Extension,SQL_STORED_PROCEDURE,2014-03-10 00:09:08.043,2025-06-25 07:55:37.523,4125,Has Source,987,"
CREATE PROCEDURE [SP_PatientSearch_Extension]
	@CompanyID   VARCHAR(20)  = NULL,
    @FirstName   VARCHAR(30)  = NULL,
    @LastName    VARCHAR(30)  = NULL,
    @PhoneNumber VARCHAR(50)  = NULL,
    @DateOfBirth VARCHAR(100) = NULL

AS

BEGIN
	SET NOCOUNT ON
	
	SELECT  CompanyId,
            HomeOffice,
            PatientId,
            FirstName,
            LastName,
            DateOfBirth,
            PhoneNumber,
            Address1,
            Address2,
            City,
            St"
dbo,MarkVisionStarOrderReadyToBeSent,SQL_STORED_PROCEDURE,2008-08-30 11:41:49.960,2025-06-25 07:55:37.520,6143,Has Source,868,"
CREATE PROCEDURE [dbo].[MarkVisionStarOrderReadyToBeSent] 
	@XifDataBatchId int,
	@HasRecordsToProcess int out 
AS
BEGIN


if exists(select * from VisionStarOrderSent where XifDataBatchId = @XifDataBatchId)
Begin
	--we may clear the data before proceeding with the insert
	--do not want to create the duplicate records for the same order
	--in same batch
	delete from VisionStarOrderSent where XifDataBatchId = @XifDataBatchId 
End

insert into VisionStarOrderSent (XifDataBatchId, O"
dbo,CLSalesbyDoctor,SQL_STORED_PROCEDURE,2011-02-24 23:15:14.990,2025-06-25 07:55:37.517,5235,Has Source,981,"CREATE PROCEDURE [dbo].[CLSalesbyDoctor]

@fromdate datetime,
@todate  datetime,
@CompanyID varchar(20)
AS
BEGIN
	SET NOCOUNT ON;

declare @iCnt as int
select @iCnt=count(*)  from sysobjects where xtype='U' and name = '#V_InvoiceDetailBYItemType'
if(@iCnt <>0) 
Begin
drop table #V_InvoiceDetailBYItemType
end


Select * into  #V_InvoiceDetailBYItemType from  V_InvoiceDetailBYItemType where Transactiondate >=@fromDate and
 TransactionDate <dateadd(d,1,@todate) and Itemtype=17
 a"
dbo,CLSalesByDoctorDetail,SQL_STORED_PROCEDURE,2014-03-10 00:08:06.813,2025-06-25 07:55:37.513,4125,Has Source,1233,"CREATE PROCEDURE [dbo].[CLSalesByDoctorDetail]

@fromdate datetime,
@todate  datetime,
@CompanyID varchar(20)
AS
BEGIN
	SET NOCOUNT ON;



select 
	NEWID() as ID, 
	v.DoctorId, 
	e.FirstName, 
	e.LastName, 
	v.OfficeNum, 
	v.PatientId as PatientId,  
	v.PatientName as PatientName, 
	cs.CLStyleID, 
	cs.Style,
	v.Quantity as Quantity, 
	v.TransactionDate as DateOfSale, 
	v.OrderNum as OrderNum,  
	v.NetSales as NetSale 
 from 
	(SELECT 
		ID
		,InvoiceDetailId
		,Invoi"
dbo,GetPatientStatementReport,SQL_STORED_PROCEDURE,2016-05-11 00:04:37.490,2025-06-25 07:55:37.503,3332,Has Source,7551,"CREATE PROCEDURE [dbo].[GetPatientStatementReport]
@cutOffDate datetime,
@OfficeNumber varchar(30),
@orderid varchar(10)
AS
BEGIN

 SET NOCOUNT ON;
 DECLARE @listOrderId VARCHAR(Max)

 if (@orderid is null or @orderid  = '')
 begin
     SELECT @listOrderId = COALESCE(@listOrderId+',' ,'') + cast(a.ordernum as varchar(10))
     FROM (select * from GetPatientOrdersWithBalance(@cutOffDate, @officeNumber)) as a  
 end
 else
 begin
    set @listOrderId  =  @orderid
 end


;WITH 
    PatientPosTransac"
dbo,SP_InsuranceSalesSummaryByOfficeByCarrier,SQL_STORED_PROCEDURE,2012-02-29 08:07:46.060,2025-06-25 07:55:37.487,4865,Has Source,4336,"


--SP_InsuranceSalesSummaryByOfficeByCarrier '10/1/2011','1/31/2012','111,999','%',null


CREATE PROCEDURE [dbo].[SP_InsuranceSalesSummaryByOfficeByCarrier]
@FromDate1 varchar(20),
@ToDate1 varchar(20),
@OfficeNum varchar(max),
@carrierId as varchar(50),
@planId as varchar(50),
@monthCloseID as int
AS
BEGIN
	SET NOCOUNT ON;
	declare @iCnt as int
	declare @claimCnt as int
	select @iCnt=count(*)  from sysobjects where xtype='U' and name = '#V_SalesAnalysisByVisionPlan'
	if(@iC"
dbo,SP_GenerateDoctorExamSales,SQL_STORED_PROCEDURE,2011-12-28 22:43:15.157,2025-06-25 07:55:37.480,4928,Has Source,6573,"CREATE PROCEDURE [dbo].[SP_GenerateDoctorExamSales]
@CompanyID varchar(10),
@ListOfOfficenum as varchar(max),
@CarrierID as varchar(max),
@FromSerivceDate as datetime,
@ToServiceDate as datetime,
@FromTransDate as datetime,
@ToTransDate as datetime,
@monthCloseID as int
AS
BEGIN

       if @monthCloseID <> 0 and @monthCloseID is not null
       begin
              
              set @ToTransDate = (select closeddate from MonthCloseControl where ID = @monthCloseID and CompanyID = @"
dbo,SP_InsuranceSalesSummaryByOffice,SQL_STORED_PROCEDURE,2013-02-20 00:01:03.550,2025-06-25 07:55:37.477,4508,Has Source,5533,"
CREATE PROCEDURE [dbo].[SP_InsuranceSalesSummaryByOffice]      
@FromDate1 varchar(20),      
@ToDate1 varchar(20),      
@OfficeNum varchar(max),      
@carrierId as varchar(50),      
@monthCloseID as int ,
@companyId as varchar(20)
      
      
AS      
BEGIN      
 SET NOCOUNT ON;      
 declare @iCnt as int      
 declare @claimCnt as int      
 select @iCnt=count(*)  from sysobjects where xtype='U' and name = '#V_SalesAnalysisByVisionPlan'      
 if(@iCnt <>0)       
 Begin      
  drop "
dbo,SalesPaymentByVisionPlan,SQL_STORED_PROCEDURE,2011-02-24 23:15:18.423,2025-06-25 07:55:37.473,5235,Has Source,2739,"
CREATE PROCEDURE [dbo].[SalesPaymentByVisionPlan]
@FromDate1 varchar(20),
@ToDate1 varchar(20),
@OfficeNum varchar(20)
AS
BEGIN
	SET NOCOUNT ON;
	declare @iCnt as int
	select @iCnt=count(*)  from sysobjects where xtype='U' and name = '#V_SalesPaymentByVisionPlan'
	if(@iCnt <>0) 
	Begin
		drop table #V_SalesPaymentByVisionPlan
	end


select Officenum,PlanName,
Sum(Price) as Retail, Sum(Discount) + sum(LineDisc) + sum(PackageDisc) + sum(InsuranceDiscount) + sum(PromotionDiscount) as Discount
,sum"
dbo,GetSalesbyItemTypeandInsurance,SQL_STORED_PROCEDURE,2011-02-24 23:15:18.533,2025-06-25 07:55:37.467,5235,Has Source,1714,"CREATE PROCEDURE [dbo].[GetSalesbyItemTypeandInsurance]
@FromDate1 varchar(20),
@ToDate1 varchar(20),
@OfficeNum varchar(20),
@CarrierCode varchar(100),
@CompanyId varchar(20)
AS
BEGIN
	SET NOCOUNT ON;
declare @iCnt as int
select @iCnt=count(*)  from sysobjects where xtype='U' and name = '#V_InvoiceDetailwithInsurance1'
if(@iCnt <>0) 
Begin
drop table #V_InvoiceDetailwithInsurance1
end


select dbo.GetItemNamefromItemtype(ItemType,ItemID) as ItemDescription,* into #V_InvoiceDetailwithInsurance1 "
dbo,GetScheduleRecallDetailsReportByCriteria,SQL_STORED_PROCEDURE,2014-03-10 00:09:07.953,2025-06-25 07:55:37.463,4125,Has Source,2174,"CREATE PROC [dbo].[GetScheduleRecallDetailsReportByCriteria]
    @RecallId         INT,
	@DocNum           INT,
	@RecallFromDate     varchar(20),
	@RecallToDate     varchar(20),
	@RecallTypeId      INT
	AS
BEGIN
    SET NOCOUNT ON;

	SELECT  (appt.appt_date) AS NextAppointmentDate, rd.PatientID INTO #tempList FROM RecallDetails rd 
	LEFT JOIN AppSch_Appointment appt ON appt.PatientID = rd.PatientID 
	INNER JOIN Recall r ON r.ID = rd.RecallID
	WHERE appt.appt_date >=  r.RecallFromDate AND r.ID = "
dbo,GetWarrantyUsage,SQL_STORED_PROCEDURE,2010-09-20 11:14:19.953,2025-06-25 07:55:37.457,5392,Has Source,3838,"
CREATE PROCEDURE [dbo].[GetWarrantyUsage]
@fromdate datetime,
@todate datetime,
@CompanyID varchar(20),
@OfficeNum varchar(10)

AS
BEGIN
	SET NOCOUNT ON;
	
	
declare @iCnt as int
select @iCnt=count(*)  from sysobjects where xtype='U' and name = 'X_POSWarrantySale'
if(@iCnt <>0) 
Begin
drop table X_POSWarrantySale
end


select 
pt1.TransactionID, pt1.PatientID,pt1.OrderID,
pt1.TransactionDate as UsedDate, 
sum(case when invd1.IsLensItem= 1 then invd1.Amount + isnull(iid1.R"
dbo,GetBillingPOSReceivablesUnmatched,SQL_STORED_PROCEDURE,2010-04-09 11:55:32.140,2025-06-25 07:55:37.450,5556,Has Source,5548,"
CREATE PROCEDURE [dbo].[GetBillingPOSReceivablesUnmatched]
@fromdate datetime,
@todate datetime,
@CompanyID varchar(20),
@CarrierCode varchar(20),
@OfficeNum as varchar(20),
@IsPrepaidCarrier as BIT

AS
BEGIN
	SET NOCOUNT ON;
	
	declare @iCnt as int
	select @iCnt=count(*)  from sysobjects where xtype='U' and name = 'V_BillingOrderFirstReceivable1'
	if(@iCnt =0) 
	Begin
	
select 
newid() as ID,
bcd.Officenum,bcd.CarrierName,bcd.CarrierID,bt.orderid as OrderNum,bc.servicedate-"
dbo,Scheduler_ExistingAppointmentsHistory_Get,SQL_STORED_PROCEDURE,2014-03-10 00:08:00.323,2025-06-25 07:55:37.443,4125,Has Source,2135,"


CREATE PROCEDURE [Scheduler_ExistingAppointmentsHistory_Get]
	
	 @patient_no int = null
	,@locationId int = null
	,@resourceId int = null
	,@appointmentId int = null
	
	
AS

-- =============================================
-- File Name:	[Scheduler_ExistingAppointmentsHistory_Get].sql
-- 3/19/2012     AA      Modified for WebScheduler
-- =============================================

BEGIN
	SET NOCOUNT ON;
	SET TRANSACTION ISOLATION LEVEL READ UNCOMMITTED;
	
	DECLARE @Dat"
dbo,SalesOrderExport,SQL_STORED_PROCEDURE,2019-10-09 00:13:49.840,2025-06-25 07:55:37.440,2086,Has Source,6093,"

Create Procedure [dbo].[SalesOrderExport]  
@transmissionDate DateTime,
@updateStatus bit
As
BEGIN

If(@updateStatus =0)
Begin
Declare @fromDate DateTime = CAST (GETDATE() AS DATE)
 

SELECT distinct pt.transactionid  as TransactionNum 
into #temp_table 
FROM dbo.PosTransaction AS pt
inner join orders ord on ord.ordernum = pt.orderid and ord.statuscode <> 'POH'
inner join invoicesum summ on summ.invoiceid  = pt.InvoiceSummaryID
inner join dbo.InvoiceDet AS cid on cid.InvoiceID = summ.invoiceid"
dbo,GetAppointmentBookLite,SQL_STORED_PROCEDURE,2011-10-26 11:43:56.403,2025-06-25 07:55:37.433,4991,Has Source,3450,"CREATE PROCEDURE [dbo].[GetAppointmentBookLite]
@FromDate DateTime,
@OfficeNum Varchar(20)
AS
BEGIN
	SET NOCOUNT ON;
              
              
SELECT distinct ApptNum ,WorkflowInstanceId, DoctorId, this_.PatientID, ApptDate, this_.ApptTypeID,this_.OfficeNum ,ApptStatusID, this_.PatientInsuranceID, employee4_.FirstName as DrFirstName, 
employee4_.LastName as DrLastName, P.FirstName as PatFirstName, P.LastName as PatLastName,Ph.PhoneNumber as PhoneNumber,IP.PlanName as PatientInsuranc"
dbo,GetPatientOrderLedgerInsuranceData,SQL_STORED_PROCEDURE,2016-07-27 00:03:46.073,2025-06-25 07:55:37.427,3255,Has Source,3914,"CREATE PROCEDURE [dbo].[GetPatientOrderLedgerInsuranceData] 
	@CutOffDate DATETIME
	,@CompanyId VARCHAR(20)
	,@OrderIdList VARCHAR(MAX)
AS

BEGIN
    SET NOCOUNT ON;
	DECLARE @compatibility int;
	SELECT @compatibility = compatibility_level  FROM sys.databases WHERE name = DB_NAME()

	CREATE TABLE #OrderIDs
	(
		ID INT
	);
	
	IF (@compatibility >= 130)
		BEGIN
			INSERT INTO #OrderIDs SELECT CAST(VALUE AS INT) AS [VALUE] FROM STRING_SPLIT(@OrderIdList, ',')	
		END
	ELSE
		BEGIN
			INSERT INTO #Or"
dbo,GetKPITransactionDetails,SQL_STORED_PROCEDURE,2022-03-10 10:31:41.643,2025-06-25 07:55:37.423,1203,Has Source,1824,"CREATE PROCEDURE [dbo].[GetKPITransactionDetails] 
@regionId int ,
@officeNum varchar(max) ,
@employeeNum varchar(max), 
@fromDate Datetime, 
@toDate DateTime, 
@isKPI bit, 
@companyID varchar(max),
@useBookDate bit
AS
SELECT  Row_Number() over (order by ko.TransactionID) as ID, ko.TransactionID, p.TransactionDate, p.OfficeNum, p.OrderID,
 pat.LastName + ' ' + pat.FirstName AS PatientName, 
                      e.LastName + ' ' + e.FirstName AS EmployeeName , e.employee as EmployeeID,k.Descript"
dbo,VerifyParametersValidForCompany,SQL_STORED_PROCEDURE,2021-07-29 17:55:56.190,2025-06-25 07:55:37.417,1427,Has Source,9615,"-- =============================================
-- Author:		jim little
-- Create date: 2021-7-6
-- Description: Perform a check on all supplied parameters to confirm that they belong to a patient
--				in the same company of the supplied companyId.
-- Preconditions: CompanyId and OfficeNum are required and must be valid.
-- Details: Each supplied parameter is valid if related to a patient in the same company of the supplied
--			companyId.  At the first failed check, the procedure returns @FAIL"
dbo,GetPatientQuickList,SQL_STORED_PROCEDURE,2017-02-15 00:04:22.033,2025-06-25 07:55:37.407,3052,Has Source,5418,"CREATE PROCEDURE [dbo].[GetPatientQuickList] (
    @MaxResultValue AS INT = 1000
    ,@FirstResult AS INT = 0
    ,@OfficeNum AS NVARCHAR(8)
    ,@ApptDate	DATETIME  
    ,@Search AS VARCHAR(25) = null
)
AS
BEGIN
SET NOCOUNT ON;

DECLARE @locationId INT = 0;
SET @locationId = (SELECT officeId from office WHERE officeNum = @OfficeNum)

INSERT INTO OfficePatientHistory (officeNum, PatientID, Appt_no)
    SELECT 
        @OfficeNum as OfficeNum, 
        patientId, appt_no 
    FROM 
        AppSch"
dbo,Scheduler_AppointmentDetail_Get,SQL_STORED_PROCEDURE,2014-03-10 00:08:58.207,2025-06-25 07:55:37.403,4125,Has Source,3144,"CREATE PROCEDURE [dbo].[Scheduler_AppointmentDetail_Get]
	@appt_no INT
AS
BEGIN
	SET NOCOUNT ON;

	SELECT
		APPT.[appt_no]
		,APPT.[LocationID]
		,LOC.OfficeName AS LocDisplayName
		,APPT.resourceId
		,PRO.FirstName AS provider_first_name
		,PRO.LastName AS provider_last_name
		,PRO.Employee AS provider_cd
		,APPT.[appointmentTypeId]
		,IE.ItemName AS [prd_desc] 
		,APPT.[ins_no]
		,ic.CarrierName AS insurance_name
		,dbo.GetInsuranceNm(appt.MedicalPatientInsuranceID) AS med_insurance_name  
		,"
dbo,FixTransactions,SQL_STORED_PROCEDURE,2014-03-10 00:08:06.863,2025-06-25 07:55:37.393,4125,Has Source,18109,"


Create PROCEDURE [dbo].[FixTransactions]
	-- Add the parameters for the stored procedure here
	@OfficeNum varchar(20) = NULL, 
	@PatientID int = 0,
	@OrderIDs as varchar(8000) = '' OUTPUT,
	@FixedDuplicateOrders varchar(max) ='' OUTPUT,
	@FixedMissingOrders varchar(max)='' OUTPUT
AS
BEGIN
	-- SET NOCOUNT ON added to prevent extra result sets from
	-- interfering with SELECT statements.
	SET NOCOUNT ON
	
	/*----- Uncoment the lines below if you want to return out of the stored "
dbo,LoadOldSystemBalanceByPatient,SQL_STORED_PROCEDURE,2011-02-24 23:15:14.883,2025-06-25 07:55:37.383,5235,Has Source,6923,"-- =============================================
-- Author:        Digesh Sahu
-- Create date: 01/13/2011
-- Description:   Loading Patient old system balance
-- Procedure Name : LoadOldSystemBalanceByPatient
-- Modifications:
--    1) Steve Badgley: Added @Closed parameter and use during Insert into POSTransaction.
-- Parameters 
--          1) Patient Home Location      (Unique office/location number from AL database)
--          2) Patient ID                       (Unique ID for specific pati"
dbo,GetUndeliveredOrders,SQL_STORED_PROCEDURE,2013-02-20 00:01:02.440,2025-06-25 07:55:37.377,4508,Has Source,4813,"---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREATE PROCEDURE [dbo].[GetUndeliveredOrders]
 @CutoffDate as datetime,
 @CompanyID as nvarchar(10),
 @OfficeNum as nvarchar(100)
AS
BEGIN
declare @merchandiseDropStatus varchar(2) = 'MD';
set @CutoffDate = DATEADD(dd, 1, dbo.DateOnly(@"
dbo,Scheduler_AppointmentConfirmationDateRange_Get,SQL_STORED_PROCEDURE,2015-03-10 22:44:18.967,2025-06-25 07:55:37.370,3760,Has Source,5521,"CREATE PROCEDURE [dbo].[Scheduler_AppointmentConfirmationDateRange_Get] 
	( 
	@startDate	DATETIME,
	@endDate	DATETIME,
	@locationID	INT,
	@resourceIDs VARCHAR(MAX)
	)
AS
  
BEGIN  
	SET NOCOUNT ON;  
	SET TRANSACTION ISOLATION LEVEL READ UNCOMMITTED;

   SELECT  DISTINCT
		 a.[appt_no]  
		,a.[LocationID]  
		,a.[resourceId] 
		,a.[appointmentTypeId] AS serv_no
		,a.[ins_no]
		,a.[appt_date]  
		,a.[appt_start_time]  
		,a.[appt_end_time]  
		,a.[appt_phone]  
		,a.appt_phone AS [appt_Workphone]"
dbo,GetPatientOrderInvoiceDataByOrder,SQL_STORED_PROCEDURE,2024-11-26 07:55:57.820,2025-06-25 07:55:37.360,211,Has Source,3850,"CREATE PROCEDURE [dbo].[GetPatientOrderInvoiceDataByOrder]
	@CutOffDate DATETIME,
	@CompanyId VARCHAR(20),
	@OrderId INT
AS
BEGIN
		SET NOCOUNT ON;

		WITH ProcedureDiagnosis AS (
			SELECT 
				bcl.OrderNum,
				bcl.itemId,
				Min(bld.ProcedureCode) ProcedureCode
			FROM BillingClaimLineItem bcl
			LEFT JOIN BillingLineDetails bld ON bcl.lineitemid = bld.LineItemId 
			GROUP BY bcl.OrderNum,
			bcl.itemId 
		),
		PatientLedger AS (
			SELECT 
				ROW_NUMBER() OVER (ORDER BY o.ordernum, id.line"
dbo,GetPatientLiteWithPhone,SQL_STORED_PROCEDURE,2014-03-10 00:09:07.943,2025-06-25 07:55:37.353,4125,Has Source,19026,"
CREATE PROCEDURE [dbo].[GetPatientLiteWithPhone]
@MaxResultValue as int,
@FirstResult as int,
@PhoneNumber varchar(25),
@CompanyID varchar(20),
@FirstName varchar(30),
@LastName varchar(30),
@BirthDate varchar(100),
@InActiveValue bit,
@OfficeId varchar(8)

AS
BEGIN
    SET NOCOUNT ON;

	if (@FirstResult = 0) begin
		if (@OfficeId = '%') begin
		if (@InActiveValue is null) begin
			SELECT TOP (@MaxResultValue) * from
			(SELECT ROW_NUMBER() OVER(ORDER BY sort_1,sort_2) as row, query.ID, 
				is"
dbo,DailyFlashSalesByResource,SQL_STORED_PROCEDURE,2022-06-21 05:01:23.333,2025-06-25 07:55:37.343,1100,Has Source,5191,"CREATE PROCEDURE [dbo].[DailyFlashSalesByResource]

@fromdate datetime,
@todate  datetime,
@officeList varchar(max),
@employeeID int,
@companyID varchar(20)
AS
BEGIN

SELECT Row_number() over(order by ItemTypeID) as ID,
pt.OfficeNum,
              o.OfficeName,
              Month(pt.TransactionDate) as Month,
              Year(pt.TransactionDate) as Year,
              pt.TransactionDate as DateOfSale,
              pt.OrderID as OrderNum,
              pt.PatientID,
              p.LastName +"
dbo,SP_OrderAgingFilterByOfficeIds,SQL_STORED_PROCEDURE,2015-09-23 00:09:00.607,2025-06-25 07:55:37.337,3563,Has Source,4534,"-- =============================================
-- Author:		<Author,,Name>
-- Create date: <Create Date,,>
-- Description:	<Description,,>
-- =============================================
CREATE PROCEDURE [dbo].[SP_OrderAgingFilterByOfficeIds]
	-- Add the parameters for the stored procedure here
	@TransactionDate as datetime,
	@OfficeNum as varchar(max),
	@CompanyID as varchar(20),
	@IncludeOnlyOldSystemBalance as bit = NULL,
	@PatientId as int
		
AS
BEGIN
	Declare @TransDate Date
	set @TransDa"
dbo,Scheduler_ExistingAppointments_Get,SQL_STORED_PROCEDURE,2014-03-10 00:08:00.307,2025-06-25 07:55:37.333,4125,Has Source,2619,"
CREATE PROCEDURE [Scheduler_ExistingAppointments_Get] 
	
	 @patient_no int = null
	,@locationId int = null
	,@resourceId int = null
	,@include_past_appointment bit = 0
	
	
AS

-- =============================================
-- File Name:	Scheduler_ExistingAppointments_Get.sql
-- Description:	This Stored Procedure Gets Existing Appointments.
-- Author:	Armando Moran
-- Example: [Scheduler_ExistingAppointments_Get] 64320,5,18,1
-- Example: [Scheduler_ExistingAppointments_Get] 64320,5,18,0
-- His"
dbo,spDoesPearleCustomerExist,SQL_STORED_PROCEDURE,2016-07-27 00:03:46.150,2025-06-25 07:55:37.330,3255,Has Source,1556,"CREATE PROCEDURE [dbo].[spDoesPearleCustomerExist]
(
	 @firstName				VARCHAR(30)
	,@lastName				VARCHAR(30)
	,@birthDate				DATETIME = NULL
	,@primaryPhoneNumber	VARCHAR(50) = NULL
	,@companyId				VARCHAR(20) = NULL
	,@homeOffice			VARCHAR(8) = NULL
	,@oldCustomerRecord		INT = NULL
	,@conversionOrigin		NVARCHAR(255) = NULL
)
AS
BEGIN
----------------------------------------------------------------------------------------------------------------------------------------------
	DECLARE @matchedPati"
