schema_name,view_name,create_date,modify_date,definition_length,definition_preview
dbo,V_InsuranceByInvoice,2009-08-29 12:35:52.393,2025-06-25 07:55:36.740,1076,"

CREATE VIEW [dbo].[V_InsuranceByInvoice]
AS 
SELECT  Row_number() over(order by TransactionID) as ID ,TransactionID,InvoiceID, OrderNum, SUM(Price) AS Price, SUM(Tax) AS Tax, SUM(ISNULL(Discount, 0)) + SUM(ISNULL(LineDisc, 0)) + SUM(ISNULL(PackageDisc, 0)) 
                      + SUM(ISNULL(InsuranceDiscount, 0)) AS Discount, SUM(ISNULL(Amount, 0)) AS Amount, SUM(ISNULL(Allowance, 0)) AS Allowance, 
                      SUM(ISNULL(Copay, 0)) AS Copay, SUM(ISNULL(Receivable, 0)) AS Rece"
dbo,V_ClaimSummary,2009-12-08 12:19:11.627,2025-06-25 07:55:36.733,6796,"




CREATE VIEW [dbo].[V_ClaimSummary]
AS
SELECT     '""10""' AS RECTYPE, '""034""' AS Provider, '""0034""' AS DISPENSER, '""'+isnull(CONVERT(VARCHAR(8), bc.BillingDate,112),'')+'""' AS StateDate, '""""' AS STATENUM, 
                     (CASE WHEN inp.PurchaseOrder IS NULL THEN '""""' ELSE '""'+substring(inp.PurchaseOrder,1,5)+'""' END) AS Cisco, '""""' AS AccountCode, 
                      '""'+ cast(oi.OrderID as varchar(32))+'""' AS OrderNum, 
                      '""'+ substring(bcd.InsuredId,1,"
dbo,V_CLOrdersSEE,2009-08-25 11:00:03.357,2025-06-25 07:55:36.727,3243,"CREATE VIEW dbo.V_CLOrdersSEE
AS
SELECT     dbo.Orders.OfficeNum, dbo.Orders.OrderNum, dbo.Orders.LabNum, dbo.Orders.ShipToType, dbo.Orders.StatusCode, dbo.Orders.LabOrderWorkflowID, 
                      SUBSTRING(dbo.Orders.LabInstructions, 1, 50) AS Comment1, SUBSTRING(dbo.Orders.LabInstructions, 51, 100) AS Comment2, dbo.Orders.OrderDate, 
                      dbo.Orders.ExpectDate, dbo.Orders.CustomerID, ShipToAddress.Address1 AS ShipToAddress1, ShipToAddress.Address2 AS ShipToAddress"
dbo,V_GetNetReceiptbyOffice,2014-03-10 00:09:07.700,2025-06-25 07:55:36.720,9936,"CREATE view V_GetNetReceiptbyOffice
 As
 
 select distinct o.OrderNum,cast((pd.Amount* (ISNULL(PT.Amount,0)/NULLIF(ppt.Amount,0))) as decimal(9,2)) as Amount,--PT.Amount as Amount,
 isum.DoctorID as DoctorID,E.FirstName + ' ' + E.LastName as Doctor, 'E' as ordertype, PT.OfficeNum,Convert(datetime,convert(varchar, TransactionDate, 101)) as transactiondate,pt.PaymentID, TransactionID,PaymentTypeID
  from PosTransaction PT 
  inner join orders o on o.OrderNum = PT.OrderID
  inner join InvoiceSum is"
dbo,V_CLReplenishment,2014-03-10 00:07:59.150,2025-06-25 07:55:36.713,2516,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/ 

CREATE VIEW [dbo].[V_CLReplenishment] 
AS
SELECT    Row_number() over(order by  o.OrderNum) as ID,  o.OfficeNum, clm.MfgNum, clm.VendName, o.ProcessDate, o.OrderDate, o.OrderNum, p.LastName, p.FirstName, clst.CLStyleId, clst.Style, cls.Base, 
                      cls.Diameter, cls.Sphere, cls.Cylinder, cls.Axis, cls.add1 as Add1, cls.LensQty,pd.Eye,clc.Description,cl.supplytype as SupplyType, clu.value a"
dbo,V_EGOrdersSEE,2009-08-25 11:00:04.230,2025-06-25 07:55:36.700,7358,"CREATE VIEW dbo.V_EGOrdersSEE
AS
SELECT     dbo.Orders.OfficeNum, dbo.Orders.OrderNum, dbo.Orders.LabNum, dbo.Orders.ShipToType, dbo.Orders.StatusCode, dbo.Orders.LabOrderWorkflowID, 
                      SUBSTRING(dbo.Orders.LabInstructions, 1, 50) AS Comment1, SUBSTRING(dbo.Orders.LabInstructions, 51, 100) AS Comment2, dbo.Orders.OrderDate, 
                      dbo.Orders.ExpectDate, dbo.Orders.CustomerID, ShipToAddress.Address1 AS ShipToAddress1, ShipToAddress.Address2 AS ShipToAddress"
dbo,V_RefundOnly,2012-02-29 08:07:44.550,2025-06-25 07:55:36.697,628,"
   
   CREATE VIEW [dbo].[V_RefundOnly]
AS
SELECT     pt.OrderID, pt.TransactionID, pt.TransactionDate, pt.Amount, ins.RefundTypeID, p.FirstName, p.LastName, o.OfficeName, pt.OfficeNum, o.CompanyID,
pt.TransactionTypeID,
e.LastName+', '+ e.FirstName as Employee
FROM         dbo.PosTransaction AS pt left outer JOIN
                      dbo.InvoiceSum AS ins ON pt.InvoiceSummaryID = ins.InvoiceID INNER JOIN
                      dbo.Patient AS p ON pt.PatientID = p.ID INNER JOIN
                "
dbo,V_RemakeReasonReport,2012-02-29 08:07:44.063,2025-06-25 07:55:36.693,2261,"/*******************************************************************
** V_RemakeReasonReport - The View for the remake reason report information.
** 
** 7/27/2021 - Added a remake note
********************************************************************/
CREATE VIEW [dbo].[V_RemakeReasonReport]
AS
SELECT office.companyID as CompanyID
	, p.id as patientID
	, upper(substring(p.FirstName, 1, 1)) + lower(substring(p.FirstName, 2, len(p.firstname))) as FirstName
	, upper(substring(p.LastName, 1, 1)) "
dbo,V_PatientDemographics,2014-03-10 00:08:57.877,2025-06-25 07:55:36.683,3672,"

CREATE VIEW [dbo].[V_PatientDemographics]
AS
SELECT     
	dbo.Patient.ID AS PatientID, 
	dbo.Patient.CompanyID, 
	dbo.Patient.FirstName, 
	dbo.Patient.Middle, 
	dbo.Patient.LastName, 
    dbo.Patient.FirstName + RTRIM(' ' + COALESCE (dbo.Patient.Middle, '')) + ' ' + dbo.Patient.LastName AS PatientFullName, 
    dbo.Patient.Sex, 
	dbo.Patient.SSN, 
	dbo.Patient.email AS EmailAddress, 
	dbo.V_PatientAddresses.Address1, 
	dbo.V_PatientAddresses.Address2, 
	dbo.V_PatientAddresses.C"
dbo,V_EGLabOrder,2009-01-28 15:58:51.653,2025-06-25 07:55:36.673,8471,"
CREATE VIEW [dbo].[V_EGLabOrder]
AS
SELECT     dbo.Orders.OrderNum, dbo.Orders.OfficeNum, dbo.Orders.LabNum, dbo.Orders.ShipToType, dbo.Orders.OrderDate, dbo.Orders.ExpectDate, 
                      dbo.Orders.StatusCode, dbo.Orders.OrderType, dbo.Orders.LabOrderWorkflowID, dbo.Orders.LabInstructions, 
                      ShipToAddress.Address1 AS ShipToAddress1, ShipToAddress.Address2 AS ShipToAddress2, ShipToAddress.City AS ShipToCity, 
                      ShipToAddress.State AS Sh"
dbo,V_SalesAdjustments,2014-03-10 00:07:59.367,2025-06-25 07:55:36.667,1122,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/ 

CREATE VIEW [dbo].[V_SalesAdjustments] 
AS
select convert(varchar,Row_number() over(order by  pt.TransactionID)) + '-' + pt.OFficeNum as ID, 
	pt.TransactionID,pt.transactiondate as TransactionDate, pt.ORderID as OrderNum, 
	pt.employeeid as Employee,dbo.GetProperCasing(e.FirstName) + ','+ dbo.GetProperCasing(e.LastName) as EmployeeName
	,  pt.Amount, pt.patientid as PatientID,
	dbo.GetProperCa"
dbo,V_RecallDetailsReport,2010-02-02 09:22:32.440,2025-06-25 07:55:36.663,1651,"
CREATE VIEW [dbo].[V_RecallDetailsReport]
AS         
               

select  rd.ID as ID, rd.RecallID, p.ID as PatientID, upper(substring(p.FirstName, 1, 1)) + lower(substring(p.FirstName, 2, len(p.firstname))) as FirstName
		,  upper(substring(p.LastName, 1, 1)) + lower(substring(p.LastName, 2, len(p.LastName))) as LastName, p.Middle as MiddleInitial, cl.Value as Title
		, p.Sex, p.DOB,p.BirthDate, ph.PhoneNumber as PhoneNumber,p.email as Email , 
		a.address1 as Address1, a.address2"
dbo,V_DiscountDetail,2013-02-20 00:00:52.507,2025-06-25 07:55:36.657,2904,"

CREATE view V_DiscountDetail
as

	select isum.ordernum,sum(Discount) as discount,p.firstname + ' ' + p.lastname as patientname,
	isum.discounttypeid,pt.EmployeeId AS Associate, o.OrderDate, pt.TransactionDate,pt.officenum from invoicedet id
	inner join invoicesum isum on id.invoiceid = isum.invoiceid  and (isum.discounttypeid not in(select discounttypeid from invoicedet where ordernum = isum.ordernum) OR isum.discounttypeid is NULL)
	inner join orders o on o.OrderNum = isum.ordernum
	INNER JOI"
dbo,V_InventoryActivity,2014-03-10 00:07:59.307,2025-06-25 07:55:36.650,2241,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/   
CREATE VIEW [dbo].[V_InventoryActivity]
AS
SELECT     TOP (100) PERCENT ia.ID, ia.TransactionDate, itt.Description AS TransType, ia.OfficeNum, dbo.Office.OfficeName, ia.ItemID, dbo.Item.ItemName, dbo.Item.ItemNum, dbo.Item.UPCCode, 
                      ia.Quantity AS TransQty, ia.OnHandQuantity AS OnHand, ia.OnOrderQuantity AS OnOrder, ia.TransitInQuantity AS InTransit, ia.CommittedQuantity AS [Committ"
dbo,V_GetNetReceiptbyDoctor,2014-03-10 00:09:07.683,2025-06-25 07:55:36.640,6288,"CREATE View V_GetNetReceiptbyDoctor 
 As
select distinct o.OrderNum,cast((pd.Amount* (ISNULL(PT.Amount,0)/NULLIF(ppt.Amount,0))) as decimal(9,2)) as Amount,--
isum.DoctorID as DoctorID,E.FirstName + ' ' + E.LastName as Doctor, 'E' as ordertype,'' as  OfficeName,
'' as officenum,Convert(datetime,convert(varchar, TransactionDate, 101)) as transactiondate,pt.PaymentID,TransactionID,PaymentTypeID
from PosTransaction PT 
inner join orders o on o.OrderNum = PT.OrderID
inner join InvoiceSum isum on isu"
dbo,V_InvoiceDetailWithItem,2011-06-21 15:33:44.470,2025-06-25 07:55:36.633,1632,"

CREATE VIEW [dbo].[V_InvoiceDetailWithItem]
AS
SELECT     id.InvoiceID, ins.OrderNum, id.ItemType, id.ItemID, SUM((CASE WHEN (iid.isprimary = 0) THEN 0 ELSE isnull(id.Price, 0) END)) AS Price, 
                      SUM((CASE WHEN (iid.isprimary = 0) THEN 0 ELSE isnull(id.Tax, 0) END)) AS Tax, (CASE WHEN (iid.isprimary = 0 AND SUM(iid.Receivable) IS NOT NULL) 
                      THEN 0 ELSE SUM(id.Amount) END) AS Amount, SUM(ISNULL(iid.Receivable, 0)) AS Receivable, p.CompanyID, 
   "
dbo,V_SurveyDetailsReport,2010-01-29 21:48:05.960,2025-06-25 07:55:36.630,1208,"



CREATE VIEW [dbo].[V_SurveyDetailsReport]
AS

select  sd.ID as ID, sd.SurveyID, p.ID as PatientID, upper(substring(p.FirstName, 1, 1)) + lower(substring(p.FirstName, 2, len(p.firstname))) as FirstName, 
 upper(substring(p.LastName, 1, 1)) + lower(substring(p.LastName, 2, len(p.LastName))) as LastName, p.Sex, isnull(p.DOB, '1/1/1900') as DOB, p.BirthDate as BirthDate, ph.PhoneNumber as PhoneNum,p.email as Email , 
		a.address1 as Address1, a.address2 as Address2, a.city as City,a.sta"
dbo,V_GLDetailPOS,2009-08-25 11:00:01.387,2025-06-25 07:55:36.627,738,"CREATE VIEW [dbo].[V_GLDetailPOS]
AS
SELECT     gd.ID, gd.TransactionID, gd.AccountNum, gd.Amount AS PaidAmount, gd.GLCenter, gd.Source, gd.OfficeNum, dbo.DateOnly(gd.TransactionDate) 
                      AS TransactionDate, gd.CloseID, ga.Description, o.OfficeName, ISNULL(p.FirstName, '') + ' ' + ISNULL(p.LastName, '') AS PatientName
FROM         dbo.GLDetail AS gd INNER JOIN
                      dbo.GLAccount AS ga ON gd.AccountNum = ga.AccountNum INNER JOIN
                      dbo."
dbo,V_KPITransactionDetail,2013-02-20 00:00:54.090,2025-06-25 07:55:36.623,1286,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/   

CREATE VIEW [dbo].[V_KPITransactionDetail]
AS
SELECT    Row_Number() over (order by ko.TransactionID) as ID, ko.TransactionID, p.TransactionDate, p.OfficeNum, p.OrderID,
 pat.LastName + ' ' + pat.FirstName AS PatientName, 
                      e.LastName + ' ' + e.FirstName AS EmployeeName , e.employee as EmployeeID,k.Description, ko.Quantity, 
ko.Quantity * k.CommRate as Amount,ko.CommissionQuantity ,"
dbo,V_LabOrderStatus,2014-03-10 00:08:54.463,2025-06-25 07:55:36.617,1178,"
CREATE VIEW [dbo].[V_LabOrderStatus]
AS
	SELECT      dbo.Orders.OrderNum as OrderNum, dbo.Orders.LabNum, Orders.OrderNum as VisionStarOrderSentID , 0 as XifDataBatchID,
					  dbo.patient.FirstName as FirstName, dbo.Patient.LastName as LastName,
					  dbo.LabOrderStatus.OrderNum AS Expr1, dbo.Dateonly(dbo.LabOrderStatus.UpdateDate) as UpdateDate, dbo.LabOrderStatus.LabJobID as LabJobID, dbo.LabOrderStatus.LabStation as LabStation, 
					  dbo.Dateonly(dbo.LabOrderStatus.InLabDate) as InL"
dbo,V_PatientInformation,2011-11-16 15:19:41.090,2025-06-25 07:55:36.613,480,"CREATE VIEW dbo.V_PatientInformation
AS
SELECT     dbo.Patient.ID, dbo.Patient.FirstName, dbo.Patient.LastName, dbo.Patient.DOB, dbo.Address.Address1, dbo.Address.Address2, dbo.Address.City, dbo.Address.State, 
                      dbo.Address.ZipCode
FROM         dbo.Patient INNER JOIN
                      dbo.PatientAddress ON dbo.Patient.ID = dbo.PatientAddress.PatientID INNER JOIN
                      dbo.Address ON dbo.Address.ID = dbo.PatientAddress.AddressID
"
dbo,V_GMFortneBillingReport_WithQuotes,2010-04-29 21:33:24.580,2025-06-25 07:55:36.607,7078,"





CREATE VIEW dbo.V_GMFortneBillingReport_WithQuotes
AS
SELECT   convert(varchar,Row_number() over(order by  oi.OrderID)) as ID,
					'""10""' AS RECTYPE, '""034""' AS Provider, '""0034""' AS DISPENSER, '""'+isnull(CONVERT(VARCHAR(8), bc.BillingDate,112),'')+'""' AS StateDate, '""""' AS STATENUM, 
                     (CASE WHEN inp.PurchaseOrder IS NULL THEN '""""' ELSE '""'+substring(inp.PurchaseOrder,1,5)+'""' END) AS Cisco, '""""' AS AccountCode, 
                      '""'+ cast(oi.OrderID as"
dbo,V_NetReceipt,2014-07-01 23:33:53.817,2025-06-25 07:55:36.593,7019,"CREATE View V_NetReceipt

as
 
 
select distinct o.OrderNum,cast((pd.Amount* (ISNULL(PT.Amount,0)/ppt.Amount)) as decimal(9,2)) as Amount,--PT.Amount as Amount,
isum.DoctorID as DoctorID,E.FirstName + ' ' + E.LastName as Doctor, 
-----'E' as ordertype, 
Case when  (o.OrderType = 'E' or o.OrderType = 'M' or o.OrderType = 'X'  ) then 'E'
when  (o.OrderType = 'S') then 'C'
when  (o.OrderType = 'H') then 'C'
Else '' End as ordertype,PT.OfficeNum,
--'E' as ordertype,
Convert(datetime,convert(varchar,"
dbo,V_ContractDoctorPayReport,2011-06-21 15:34:59.820,2025-06-25 07:55:36.583,991,"

CREATE VIEW [dbo].[V_ContractDoctorPayReport]
AS
SELECT     d.ID, d.Date, d.TransactionID, d.InsurancePay, d.PatientAmount, d.Sales, d.CarrierCode, d.Paymethod, d.PayAmount, d.EmployeeID, d.ItemID, 
                      p.LastName + ' ' + p.FirstName AS PatientName, pt.OrderID, e.LastName + ' ' + e.FirstName AS EmployeeName, i.CarrierName, dbo.Item.ItemName, 
                      ptt.Description AS TransactionType,pt.OfficeNum
FROM         dbo.DoctorPayDailyDetail AS d INNER JOIN
   "
dbo,LOGI_InvoicedPatientDemographics,2023-11-29 07:53:56.630,2025-06-25 07:55:36.577,3369,"Create view  [dbo].[LOGI_InvoicedPatientDemographics] as
SELECT distinct p.ID AS PatientID,
	p.CompanyID, 
	p.FirstName, 
	p.Middle, 
	p.LastName, 
	p.NickName,
	p.ReferralID,
	p.IsPatient,
    p.ProviderEmployeeId,
	pr.RecallDate as NextRecallDate,
	rt.Name as NextRecallType,
    p.FirstName + RTRIM(' ' + COALESCE (p.Middle, '')) + ' ' + p.LastName AS PatientFullName, 
    p.Sex, 
	p.email AS EmailAddress, 
	(CASE WHEN p.email = '' OR p.email IS NULL THEN 'No' 
      WHEN p.email != ''  THEN 'Y"
dbo,V_MiscPaymentReport,2013-02-20 00:00:54.350,2025-06-25 07:55:36.573,1513,"
/**************************/   
/****** CREATE VIEW ******/
/**************************/  

CREATE VIEW [dbo].[V_MiscPaymentReport]
AS
SELECT     pt.TransactionID, pt.OfficeNum, pt.TransactionDate, pt.Amount *-1 AS TransactionAmount, 
                      CASE WHEN mpr.Description =  'Billing Credit Transfer' THEN pp.Amount ELSE pp.Amount * -1 END AS PaymentAmount, 
                      p.LastName + ', ' + p.FirstName AS PatientName, e.LastName + ', ' + e.FirstName AS EmployeeName, pm.Origina"
dbo,V_PatientSearch_Extension,2014-03-10 00:09:07.707,2025-06-25 07:55:36.570,694,"
CREATE VIEW [dbo].[V_PatientSearch_Extension]
AS

SELECT  p.CompanyID AS CompanyId,
        p.HomeOffice,
        p.ID AS PatientId,
        p.FirstName,
        p.LastName,
        p.BirthDate AS DateOfBirth,
        ph.PhoneNumber,
        a.Address1,
        a.Address2,
        a.City,
        a.State,
        a.ZipCode
FROM    Patient p  WITH (NOLOCK) LEFT JOIN
        Phone   ph WITH (NOLOCK) ON ph.ID = (SELECT TOP 1 PhoneID   FROM PatientPhone   WITH (NOLOCK) WHERE Patien"
dbo,V_PatientRecallReport,2014-03-10 00:08:57.890,2025-06-25 07:55:36.563,2638,"

CREATE VIEW [dbo].[V_PatientRecallReport]
AS


SELECT  DISTINCT  convert(varchar,Row_number() over(order by p.Id))+ '-' + o.officeNum as ID, max(p.id) as PatientID, office.companyID as CompanyID
 ,upper(substring(p.FirstName, 1, 1)) + lower(substring(p.FirstName, 2, len(p.firstname))) as FirstName
 ,upper(substring(p.LastName, 1, 1)) + lower(substring(p.LastName, 2, len(p.LastName))) as LastName 
 ,p.BirthDate, p.DOB, o.OfficeNum as OfficeNum, office.OfficeName AS OfficeName,max(o.Ass"
dbo,LOGI_PatientInsurances,2023-11-29 07:53:56.633,2025-06-25 07:55:36.560,362,"Create view [dbo].[LOGI_PatientInsurances] as 
select distinct pi.""PatientID"",
 ic.""CarrierName"" as ""PatientInsuranceName"",
 ic.""ID"" as ""PatientInsuranceID"",
 p.CompanyID as CompanyID
FROM patientinsurance pi inner join
     patient p on p.ID = pi.PatientID left join
	 insPlan ip on ip.ID = pi.InsurancePlanID left join
	 insCarrier ic on ic.ID = ip.CarrierCode"
dbo,V_MailCheckDetail,2010-09-20 11:14:20.117,2025-06-25 07:55:36.557,986,"create VIEW [dbo].[V_MailCheckDetail]
AS
SELECT    top 100 percent newID() as ID, o.OfficeNum, o.OfficeName, pa.LastName + ', ' + pa.FirstName AS PatientName, ISNULL(pt.OrderID, '') AS OrderID, pt.TransactionID, 
                      SUM(p.Amount) AS Amount, e.LastName + ', ' + e.FirstName AS EmployeeName, o.CompanyID
FROM         dbo.PosPaymentDetail AS p INNER JOIN
                      dbo.PosTransaction AS pt ON p.PaymentID = pt.PaymentID AND pt.TransactionDate >= '05/01/2010' AND pt.T"
dbo,V_ESPatientLastModified,2024-11-13 18:41:48.527,2025-06-25 07:55:36.550,120,"CREATE VIEW [dbo].[V_ESPatientLastModified]
WITH SCHEMABINDING
AS
SELECT 
    ID,
    LastModified
FROM [dbo].[Patient];"
dbo,v_OutstandingCreditBalance,2008-10-14 09:52:44.203,2025-06-25 07:55:36.537,863,"CREATE VIEW dbo.v_OutstandingCreditBalance
AS
SELECT     TOP (100) PERCENT dbo.PosTransaction.PatientID, SUM(dbo.PosPaymentDetail.Amount) AS Amount, dbo.Patient.LastName, dbo.Patient.FirstName, 
                      dbo.PosTransaction.OfficeNum,
					  o.OfficeName
FROM         dbo.PosPaymentDetail INNER JOIN
                      dbo.PosTransaction ON dbo.PosPaymentDetail.PaymentID = dbo.PosTransaction.PaymentID INNER JOIN
                      dbo.Patient ON dbo.PosTransaction.PatientI"
dbo,LOGI_SalesByProvider,2023-11-29 07:53:56.640,2025-06-25 07:55:36.530,2150,"Create view [dbo].[LOGI_SalesByProvider] as
Select dbo.Office.OfficeName, dbo.Office.CompanyID, dbo.Item.ItemType, dbo.Item.ItemName, dbo.ItemExam.Description AS ItemExamDescription, dbo.ItemType.Description AS ItemTypeDescription
, dbo.Address.City, dbo.Address.State, dbo.Address.ZipCode
, dbo.Employee.LastName AS EmployeeLastName, dbo.Employee.FirstName AS EmployeeFirstName, dbo.InvoiceSum.Insurance
, dbo.PosTransaction.TransactionID, dbo.PosTransaction.TransactionTypeID, dbo.PosTransaction.Or"
dbo,V_VisionStarOrder,2009-02-25 14:34:15.393,2025-06-25 07:55:36.517,11345,"



CREATE VIEW [dbo].[V_VisionStarOrder]
AS
SELECT     dbo.Orders.OrderNum, UPPER(dbo.Office.LabAccount) AS OfficeNum, dbo.Orders.ShipToType, dbo.Orders.OrderDate, dbo.Orders.ExpectDate, 
                      dbo.Orders.StatusCode, dbo.Orders.OrderType, dbo.Orders.LabOrderWorkflowID, REPLACE(REPLACE(REPLACE(dbo.Orders.LabInstructions, CHAR(10) 
                      + CHAR(13), ' '), CHAR(10), ' '), CHAR(13), ' ') AS LabInstructions, ShipToAddress.Address1 AS ShipToAddress1, 
        "
dbo,LOGI_Appointments,2023-11-29 07:53:56.600,2025-06-25 07:55:36.510,3874,"Create view [dbo].[LOGI_Appointments] as
SELECT DISTINCT
  asp.appt_no AS ""apptNumber"",
  asp.patientId AS ""patientID"",
  asp.appt_no_answer_ind,
  asp.appt_left_msg_ind,
  asp.appt_confirmed_ind,
  asp.appt_cancel_ind,
  asp.appt_deleted_ind,
  asp.appt_show_ind
  --set appointment status (cancelled 1, CheckIn 2, WalkIn 3, NoShow 4, Scheduled 5, Other 6, Confirmed 7, LeftMsg 8, NoAnswer 9  
  ,
  (CASE
    WHEN asp.appt_cancel_ind = 1 THEN 'Cancelled'
    WHEN (asp.appt_cancel_ind = 0 AND asp.a"
dbo,V_RefundAdjustment,2010-05-24 21:37:58.763,2025-06-25 07:55:36.503,628,"
CREATE VIEW V_RefundAdjustment
AS
SELECT     pt.OrderID, pt.TransactionID, pt.TransactionDate, pt.Amount, ins.RefundTypeID, p.FirstName, p.LastName, o.OfficeName, pt.OfficeNum, o.CompanyID,
pt.TransactionTypeID,
e.LastName+' ,'+ e.FirstName as Employee
FROM         dbo.PosTransaction AS pt INNER JOIN
                      dbo.InvoiceSum AS ins ON pt.InvoiceSummaryID = ins.InvoiceID INNER JOIN
                      dbo.Patient AS p ON pt.PatientID = p.ID INNER JOIN
                     "
dbo,V_InvoiceDetailBYItemType,2010-01-29 21:48:06.057,2025-06-25 07:55:36.497,2934,"CREATE VIEW dbo.V_InvoiceDetailBYItemType
AS
SELECT     id.ID, id.ID AS InvoiceDetailId, id.InvoiceID, ins.OrderNum, id.ItemType, id.ItemID, SUM(ISNULL(iid.Receivable, 0)) + SUM(ISNULL(id.Amount, 0)) - SUM(ISNULL(id.Tax, 
                      0)) AS NetSales, id.Price AS RetailPrice, ISNULL(oi.InsCarrierCode, '') AS InsCarrierCode, o.OrderType, pt.TransactionDate, o.OrderDate, pt.OfficeNum, 
                      ISNULL(iid.IsPrimary, 0) AS isPrimary, ISNULL(p.FirstName, '') + ' ' + ISNULL("
