procedure_name,parameter_name,data_type,max_length,precision,scale,is_output,has_default_value,default_value,parameter_id
CatalogCleanup_Frames,@ExcludeUPCCode,varchar,8000,0,0,False,False,,1
CatalogCleanup_Frames,@CollectionId,varchar,8000,0,0,False,False,,2
CatalogCleanup_Frames,@SessionId,uniqueidentifier,16,0,0,False,False,,3
CatalogCleanup_Frames,@StatusChangeDate,datetime,8,23,3,False,False,,4
CatalogCleanup_Frames,@SkipDuplicateFramesLoad,bit,1,1,0,False,False,,5
CatalogCleanup_Frames,@SkipCleanFramesLoad,bit,1,1,0,False,False,,6
CatalogCleanup_Frames,@SkipCanBeCleanedCheck,bit,1,1,0,False,False,,7
CatalogCleanup_Frames,@IsProcessed,bit,1,1,0,False,False,,8
CatalogCleanup_Frames,@RunCleanup,bit,1,1,0,False,False,,9
Clean_CSVAccessory,@RESULT,int,4,10,0,True,False,,1
Clean_CSVFrame,@RESULT,int,4,10,0,True,False,,1
CleanupDuplicateFrameCollection,@UseSystemCollectionID,int,4,10,0,False,False,,1
CleanupDuplicateFrameCollection,@SetNewManufacturerName,varchar,120,0,0,False,False,,2
CleanupDuplicateFrameCollection,@SetNewBrandName,varchar,100,0,0,False,False,,3
CleanupDuplicateFrameCollection,@SetNewCollectionName,varchar,100,0,0,False,False,,4
CleanupDuplicateFrameCollection,@CollectionNameTobeCleaned,varchar,100,0,0,False,False,,5
CleanUpPatientAfterMerge,@Patient_ID,int,4,10,0,False,False,,1
CLSalesbyDoctor,@fromdate,datetime,8,23,3,False,False,,1
CLSalesbyDoctor,@todate,datetime,8,23,3,False,False,,2
CLSalesbyDoctor,@CompanyID,varchar,20,0,0,False,False,,3
CLSalesByDoctorDetail,@fromdate,datetime,8,23,3,False,False,,1
CLSalesByDoctorDetail,@todate,datetime,8,23,3,False,False,,2
CLSalesByDoctorDetail,@CompanyID,varchar,20,0,0,False,False,,3
CompareARGB119,@OfficeNumber,varchar,20,0,0,False,False,,1
CompareARGB119,@CompanyID,varchar,20,0,0,False,False,,2
CompareARGB119,@FromSerivceDate,datetime,8,23,3,False,False,,3
CompareARGB119,@ToServiceDate,datetime,8,23,3,False,False,,4
ConvertOfficesToEncompass,@OfficeNums,varchar,-1,0,0,False,False,,1
CopyCompanyPatientNoticeMappingGoLiveSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyCompanyPatientNoticeMappingGoLiveSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyCompanyPatientNoticeMappingGoLiveSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyInsProviderNumberGoLiveSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyInsProviderNumberGoLiveSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyInsProviderNumberGoLiveSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyInsSchedule,@FromCompanyID,varchar,20,0,0,False,False,,1
CopyInsSchedule,@ToCompanyID,varchar,20,0,0,False,False,,2
CopyInsSchedule,@FromOfficeNum,varchar,20,0,0,False,False,,3
CopyInsSchedule,@ToOfficeNum,varchar,20,0,0,False,False,,4
CopyInsSchedule,@CopyDefaultVersion,bit,1,1,0,False,False,,5
CopyInsSchedule,@UserID,int,4,10,0,False,False,,6
CopyInsuranceRejectionReasons,@SourceRejectionReasonIDList,varchar,-1,0,0,False,False,,1
CopyInsuranceRejectionReasons,@SourceCompany,varchar,20,0,0,False,False,,2
CopyInsuranceRejectionReasons,@DestinationCompanyIDList,varchar,-1,0,0,False,False,,3
CopyInsuranceRejectionReasons,@DestinationCarrier,varchar,50,0,0,False,False,,4
CopyInvoiceConfigGoLiveSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyInvoiceConfigGoLiveSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyInvoiceConfigGoLiveSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyItemCompanyMapping,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyItemCompanyMapping,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyItemCompanyMapping,@CurrentItemType,int,4,10,0,False,False,,3
CopyItemCompanyMapping,@CurrentDescription,varchar,50,0,0,False,False,,4
CopyItemCompanyMapping,@WithOverlay,int,4,10,0,False,False,,5
CopyItemPrices,@SourcePriceList,int,4,10,0,False,False,,1
CopyItemPrices,@TargetPriceList,int,4,10,0,False,False,,2
CopyItemPrices,@WithOverlay,int,4,10,0,False,False,,3
CopyOfficeData,@FromOfficeNum,varchar,100,0,0,False,False,,1
CopyOfficeData,@ToOfficeNum,varchar,100,0,0,False,False,,2
CopyOfficeData,@WithOverlay,bit,1,1,0,False,False,,3
CopyOfficeInvoiceConfigGoLiveSetup,@FromOfficeNum,varchar,8,0,0,False,False,,1
CopyOfficeInvoiceConfigGoLiveSetup,@ToOfficeNum,varchar,8,0,0,False,False,,2
CopyOfficeInvoiceConfigGoLiveSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyOfficeLabData,@FromOfficeNum,varchar,100,0,0,False,False,,1
CopyOfficeLabData,@ToOfficeNum,varchar,100,0,0,False,False,,2
CopyOfficeLabData,@WithOverlay,bit,1,1,0,False,False,,3
CopyPatientData,@SourceCompany,varchar,100,0,0,False,False,,1
CopyPatientData,@TargetCompany,varchar,100,0,0,False,False,,2
CopyPatientPreferencesSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyPatientPreferencesSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyPatientPreferencesSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyPracticeData,@CopyFromOfficeNum,varchar,8,0,0,False,False,,1
CopyPracticeData,@CopyToOfficeNum,varchar,8,0,0,False,False,,2
CopyPracticeData,@ItemToCopy,varchar,20,0,0,False,False,,3
CopyPracticeData,@SaveData,bit,1,1,0,False,False,,4
CopyRecallTypeSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyRecallTypeSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyRecallTypeSetup,@WithOverlay,int,4,10,0,False,False,,3
CopyResourceScheduleData,@FromOfficeNum,varchar,100,0,0,False,False,,1
CopyResourceScheduleData,@ToOfficeNum,varchar,100,0,0,False,False,,2
CopyResourceScheduleData,@WithOverlay,bit,1,1,0,False,False,,3
CopySchedulefromExitingSchedule,@SourceCompanyID,varchar,20,0,0,False,False,,1
CopySchedulefromExitingSchedule,@TargetCompanyID,varchar,20,0,0,False,False,,2
CopySchedulefromExitingSchedule,@SourcePlanId,int,4,10,0,False,False,,3
CopySchedulefromExitingSchedule,@TargetPlanId,int,4,10,0,False,False,,4
CopySchedulefromExitingSchedule,@SourceVersionID,int,4,10,0,False,False,,5
CopySchedulefromExitingSchedule,@TargetVersionID,int,4,10,0,False,False,,6
CopyStatementConfigPaymentTypeGoLiveSetup,@CopyFromCompanyId,varchar,32,0,0,False,False,,1
CopyStatementConfigPaymentTypeGoLiveSetup,@CopyToCompanyId,varchar,32,0,0,False,False,,2
CopyStatementConfigPaymentTypeGoLiveSetup,@WithOverlay,int,4,10,0,False,False,,3
CreateCLExamRx,@IsCatalogItem,bit,1,1,0,False,False,,1
CreateCLExamRx,@CLStyle,int,4,10,0,False,False,,2
CreateCLExamRx,@CLColor,varchar,50,0,0,False,False,,3
CreateCLExamRx,@Base,decimal,5,8,2,False,False,,4
CreateCLExamRx,@Sph,decimal,5,8,2,False,False,,5
CreateCLExamRx,@Cyl,decimal,5,8,2,False,False,,6
CreateCLExamRx,@Axis,int,4,10,0,False,False,,7
CreateCLExamRx,@AddPower,decimal,5,8,2,False,False,,8
CreateCLExamRx,@Diameter,decimal,5,8,1,False,False,,9
CreateCLExamRx,@UpcCode,varchar,20,0,0,False,False,,10
CreatePrimaryPhone,@PatientID,int,4,10,0,False,False,,1
CreatePrimaryPhone,@PhoneNum,varchar,50,0,0,False,False,,2
CreateTestEraRemits,@CompanyID,varchar,50,0,0,False,False,,1
CreateTestEraRemits,@CarrierID,varchar,50,0,0,False,False,,2
CreateTestEraRemits,@ClaimsInRemittance,int,4,10,0,False,False,,3
CreateTestEraRemits,@PerfectMatches,int,4,10,0,False,False,,4
CreateUsers,@Description,varchar,255,0,0,False,False,,1
CreateUsers,@Password,varchar,128,0,0,False,False,,2
CreateUsers,@Email,varchar,128,0,0,False,False,,3
CreateUsers,@Comments,varchar,3000,0,0,False,False,,4
CreateUsers,@CompanyID,varchar,20,0,0,False,False,,5
CreateUsers,@ProviderName,varchar,30,0,0,False,False,,6
CreateUsers,@CompanyType,varchar,10,0,0,False,False,,7
CreateUsers,@ProviderNpi,varchar,100,0,0,False,False,,8
CreateUsers,@UserFirstName,varchar,255,0,0,False,False,,9
CreateUsers,@UserLastName,varchar,255,0,0,False,False,,10
CreateUsers,@PearleCompany,bit,1,1,0,False,False,,11
CreateUsers,@IsShadowCompany,bit,1,1,0,False,False,,12
CreateUsers,@TrainingCompanyPrefix,varchar,8,0,0,False,False,,13
CreateUsers,@StartTransaction,bit,1,1,0,False,False,,14
DailyFlashSalesByResource,@fromdate,datetime,8,23,3,False,False,,1
DailyFlashSalesByResource,@todate,datetime,8,23,3,False,False,,2
DailyFlashSalesByResource,@officeList,varchar,-1,0,0,False,False,,3
DailyFlashSalesByResource,@employeeID,int,4,10,0,False,False,,4
DailyFlashSalesByResource,@companyID,varchar,20,0,0,False,False,,5
DeleteBillingClaimsAndRelatedData,@Year,int,4,10,0,False,False,,1
DeleteBillingClaimsAndRelatedData,@CompanyId,varchar,20,0,0,False,False,,2
DeleteBillingClaimsAndRelatedDataByClaimId,@ClaimId,int,4,10,0,False,False,,1
DeleteCompany,@companyId,varchar,20,0,0,False,False,,1
DeleteCompanyPromotionTempCouponCodes,@CompanyID,varchar,20,0,0,False,False,,1
DeleteCompanyPromotionTempCouponCodes,@PromotionID,int,4,10,0,False,False,,2
DeleteEdiRow,@CompanyID,varchar,8,0,0,False,False,,1
DeleteEdiRow,@CarrierID,varchar,50,0,0,False,False,,2
DeleteEdiRow,@PayerID,varchar,50,0,0,False,False,,3
DeleteEra,@EDI835HeaderInfoID,int,4,10,0,False,False,,1
DeleteTempCouponCodes,@CompanyID,varchar,20,0,0,False,False,,1
DeleteTempCouponCodes,@PromotionID,int,4,10,0,False,False,,2
DeleteTempCouponCodes,@Coupons,varchar,-1,0,0,False,False,,3
DoesInsCheckModified,@PaymentId,int,4,10,0,False,False,,1
DoesInsCheckModified,@PaymentNumber,varchar,50,0,0,False,False,,2
DoesInsCheckModified,@PaymentDate,date,3,10,0,False,False,,3
DoesInsCheckModified,@DepositDate,date,3,10,0,False,False,,4
DoesInsCheckModified,@Amount,decimal,9,18,2,False,False,,5
DoesInsCheckModified,@OutstandingAmount,decimal,9,18,2,False,False,,6
DoesInsCheckModified,@SectionTotal,decimal,9,18,2,False,False,,7
ElasticsearchPatientFeeder,@sql_last_value,datetime,8,23,3,False,False,,1
ElasticsearchPatientFeeder,@partition_letter,varchar,1,0,0,False,False,,2
ElasticsearchPatientFeeder,@partition,int,4,10,0,False,False,,3
ExampleProcedure,@CompanyID,varchar,8,0,0,False,False,,1
ExampleProcedure,@SortType,int,4,10,0,False,False,,2
ExportData,@@companyid,varchar,20,0,0,False,False,,1
FixPatientInsuranceAddressAndPhone,@PatientID,int,4,10,0,False,False,,1
FixTransactions,@OfficeNum,varchar,20,0,0,False,False,,1
FixTransactions,@PatientID,int,4,10,0,False,False,,2
FixTransactions,@OrderIDs,varchar,8000,0,0,True,False,,3
FixTransactions,@FixedDuplicateOrders,varchar,-1,0,0,True,False,,4
FixTransactions,@FixedMissingOrders,varchar,-1,0,0,True,False,,5
FlashSalesInsurance,@FromDate1,varchar,20,0,0,False,False,,1
FlashSalesInsurance,@ToDate1,varchar,20,0,0,False,False,,2
FlashSalesInsurance,@CompanyID,varchar,20,0,0,False,False,,3
FrameOrdersforMarchonforAlloffices,@Fromdate,date,3,10,0,False,False,,1
FrameOrdersforMarchonforAlloffices,@todate,date,3,10,0,False,False,,2
FrameOrdersforMarchonforAlloffices,@Status,int,4,10,0,False,False,,3
FrameOrdersforMarchonforAlloffices,@CompanyId,varchar,20,0,0,False,False,,4
FrameOrdersforMarchonforAlloffices,@VendorId,int,4,10,0,False,False,,5
FrameOrdersforMarchonforAlloffices,@VendorOrderStatus,int,4,10,0,False,False,,6
FrameSearch_ByManufacturerCollectionModel_Get,@ManufacturerId,int,4,10,0,False,False,,1
FrameSearch_ByManufacturerCollectionModel_Get,@CollectionId,int,4,10,0,False,False,,2
FrameSearch_ByManufacturerCollectionModel_Get,@StyleId,int,4,10,0,False,False,,3
FrameSearch_ByManufacturerCollectionModel_Get,@CompanyId,varchar,50,0,0,False,False,,4
FrameSearch_ByManufacturerCollectionModel_Get,@OfficeNum,varchar,50,0,0,False,False,,5
FrameSearch_ByManufacturerCollectionModel_Get,@IsAdmin,bit,1,1,0,False,False,,6
FrameSearch_ByManufacturerCollectionModel_Get,@IsMapped,bit,1,1,0,False,False,,7
FrameSearch_Get,@CompanyId,varchar,50,0,0,False,False,,1
FrameSearch_Get,@OfficeNum,varchar,50,0,0,False,False,,2
FrameSearch_Get,@SearchString,varchar,1000,0,0,False,False,,3
FrameSearch_Get,@IsAdmin,bit,1,1,0,False,False,,4
FrameSearch_Get,@IsMapped,bit,1,1,0,False,False,,5
FrameSearch_Get_Testing,@CompanyId,varchar,50,0,0,False,False,,1
FrameSearch_Get_Testing,@OfficeNum,varchar,50,0,0,False,False,,2
FrameSearch_Get_Testing,@SearchString,varchar,1000,0,0,False,False,,3
FrameSearch_Get_Testing,@IsAdmin,bit,1,1,0,False,False,,4
FrameSearch_Get_Testing,@IsMapped,bit,1,1,0,False,False,,5
GenerateBillingAR,@FromSerivceDate,datetime,8,23,3,False,False,,1
GenerateBillingAR,@ToServiceDate,datetime,8,23,3,False,False,,2
GenerateBillingAR,@FromTransDate,datetime,8,23,3,False,False,,3
GenerateBillingAR,@ToTransDate,datetime,8,23,3,False,False,,4
GenerateBillingAR,@LastDepositDate,datetime,8,23,3,False,False,,5
GenerateBillingAR,@CompanyID,varchar,10,0,0,False,False,,6
GenerateBillingAR,@Officenum,varchar,-1,0,0,False,False,,7
GenerateBillingAR_test,@FromSerivceDate,datetime,8,23,3,False,False,,1
GenerateBillingAR_test,@ToServiceDate,datetime,8,23,3,False,False,,2
GenerateBillingAR_test,@FromTransDate,datetime,8,23,3,False,False,,3
GenerateBillingAR_test,@ToTransDate,datetime,8,23,3,False,False,,4
GenerateBillingAR_test,@LastDepositDate,datetime,8,23,3,False,False,,5
GenerateBillingAR_test,@CompanyID,varchar,10,0,0,False,False,,6
GenerateBillingAR_test,@Officenum,varchar,10,0,0,False,False,,7
GenerateBillingARWithCloseID,@FromSerivceDate,datetime,8,23,3,False,False,,1
GenerateBillingARWithCloseID,@ToServiceDate,datetime,8,23,3,False,False,,2
GenerateBillingARWithCloseID,@FromTransDate,datetime,8,23,3,False,False,,3
GenerateBillingARWithCloseID,@ToTransDate,datetime,8,23,3,False,False,,4
GenerateBillingARWithCloseID,@LastDepositDate,datetime,8,23,3,False,False,,5
GenerateBillingARWithCloseID,@CompanyID,varchar,10,0,0,False,False,,6
GenerateBillingARWithCloseID,@Officenum,varchar,-1,0,0,False,False,,7
GenerateBillingARWithCloseID,@CurrentCloseID,int,4,10,0,False,False,,8
GenerateBillingARWithCloseID,@PreviousCloseID,int,4,10,0,False,False,,9
GenerateBillingINSAR,@FromSerivceDate,datetime,8,23,3,False,False,,1
GenerateBillingINSAR,@ToServiceDate,datetime,8,23,3,False,False,,2
GenerateBillingINSAR,@FromTransDate,datetime,8,23,3,False,False,,3
GenerateBillingINSAR,@ToTransDate,datetime,8,23,3,False,False,,4
GenerateBillingINSAR,@LastDepositDate,datetime,8,23,3,False,False,,5
GenerateBillingINSAR,@CompanyID,varchar,10,0,0,False,False,,6
GenerateBillingINSAR,@Officenum,varchar,-1,0,0,False,False,,7
GenerateInserts,@table,nvarchar,1022,0,0,False,False,,1
GenerateInserts,@pk_column,sysname,256,0,0,False,False,,2
GenerateInserts,@whereClause,nvarchar,-1,0,0,False,False,,3
GenerateSingleInsertByString,@table,nvarchar,1022,0,0,False,False,,1
GenerateSingleInsertByString,@pk_column,sysname,256,0,0,False,False,,2
GenerateSingleInsertByString,@pk_value,nvarchar,20,0,0,False,False,,3
GetAppointmentBookLite,@FromDate,datetime,8,23,3,False,False,,1
GetAppointmentBookLite,@OfficeNum,varchar,20,0,0,False,False,,2
GetAppointmentItemTypes_Extension,@OfficeId,int,4,10,0,False,False,,1
GetAppointmentReschedulingDetails,@FromDate,datetime,8,23,3,False,False,,1
GetAppointmentReschedulingDetails,@CompanyId,varchar,20,0,0,False,False,,2
GetAppointmentReschedulingDetails,@ToDate,datetime,8,23,3,False,False,,3
GetAppointmentReschedulingDetails,@ResourceIDs,varchar,-1,0,0,False,False,,4
GetAppointmentReschedulingDetails,@OfficeIDs,varchar,-1,0,0,False,False,,5
GetAppointmentReschedulingDetails,@IncludeInactiveDoctors,bit,1,1,0,False,False,,6
GetBilledClaimsStatistic,@DateFrom,varchar,20,0,0,False,False,,1
GetBilledClaimsStatistic,@DateTo,varchar,20,0,0,False,False,,2
GetBilledClaimsStatistic,@CarrierID,varchar,20,0,0,False,False,,3
GetBilledClaimsStatistic,@CompanyID,varchar,20,0,0,False,False,,4
GetBilledClaimsStatistic,@OfficeNumberList,varchar,-1,0,0,False,False,,5
GetBilledClaimsStatisticAll,@CarrierID,varchar,20,0,0,False,False,,1
GetBillingFirstReceivables,@fromdate,datetime,8,23,3,False,False,,1
GetBillingFirstReceivables,@todate,datetime,8,23,3,False,False,,2
GetBillingFirstReceivables,@CompanyID,varchar,20,0,0,False,False,,3
GetBillingFirstReceivables,@CarrierCode,varchar,20,0,0,False,False,,4
GetBillingFirstReceivables,@OfficeNum,varchar,20,0,0,False,False,,5
GetBillingFirstReceivables,@IsPrepaidCarrier,bit,1,1,0,False,False,,6
GetBillingPOSReceivables,@fromdate,datetime,8,23,3,False,False,,1
GetBillingPOSReceivables,@todate,datetime,8,23,3,False,False,,2
GetBillingPOSReceivables,@CompanyID,varchar,20,0,0,False,False,,3
GetBillingPOSReceivables,@CarrierCode,varchar,20,0,0,False,False,,4
GetBillingPOSReceivables,@OfficeNum,varchar,20,0,0,False,False,,5
GetBillingPOSReceivables,@IsPrepaidCarrier,bit,1,1,0,False,False,,6
GetBillingPOSReceivablesUnmatched,@fromdate,datetime,8,23,3,False,False,,1
GetBillingPOSReceivablesUnmatched,@todate,datetime,8,23,3,False,False,,2
GetBillingPOSReceivablesUnmatched,@CompanyID,varchar,20,0,0,False,False,,3
GetBillingPOSReceivablesUnmatched,@CarrierCode,varchar,20,0,0,False,False,,4
GetBillingPOSReceivablesUnmatched,@OfficeNum,varchar,20,0,0,False,False,,5
GetBillingPOSReceivablesUnmatched,@IsPrepaidCarrier,bit,1,1,0,False,False,,6
GetBillingReceivables,@fromdate,datetime,8,23,3,False,False,,1
GetBillingReceivables,@todate,datetime,8,23,3,False,False,,2
GetBillingReceivables,@CompanyID,varchar,20,0,0,False,False,,3
GetBillingReceivables,@CarrierCode,varchar,20,0,0,False,False,,4
